City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hirado,JP,2022-10-12 04:11:15,33.3597,129.5531,295.59,59,0,10.55
68,Upernavik,GL,2022-10-12 04:09:30,72.7868,-56.1549,264.87,76,96,2.01
69,Orzhytsya,UA,2022-10-12 04:11:17,49.7918,32.7012,280.77,59,90,2.01
70,Asau,RO,2022-10-12 04:11:17,46.4333,26.4,281.66,68,79,1.09
71,Floro,NO,2022-10-12 04:11:18,61.5996,5.0328,282.57,81,75,7.72
72,Awbari,LY,2022-10-12 04:11:19,26.5921,12.7805,293.45,29,2,3.19
73,Kinangan,PH,2022-10-12 04:11:19,6.3014,125.585,303.96,63,100,0.88
74,Tuatapere,NZ,2022-10-12 04:11:20,-46.1333,167.6833,284.3,58,14,3.37
75,Touros,BR,2022-10-12 04:11:21,-5.1989,-35.4608,297.59,80,100,6.6
76,Georgetown,MY,2022-10-12 04:11:21,5.4112,100.3354,301.98,77,20,2.06
77,Luderitz,NA,2022-10-12 04:11:22,-26.6481,15.1594,290.99,62,93,4.45
78,Jalu,LY,2022-10-12 04:11:22,29.0331,21.5482,294.87,41,91,2.24
79,Ketchikan,US,2022-10-12 04:10:08,55.3422,-131.6461,285.41,87,100,2.06
80,Berlevag,NO,2022-10-12 04:11:23,70.8578,29.0864,280.15,87,100,4.63
81,Padang,ID,2022-10-12 04:11:24,-0.9492,100.3543,302.18,75,100,0.73
82,Honiara,SB,2022-10-12 04:10:32,-9.4333,159.95,302.11,72,72,1.81
83,Necochea,AR,2022-10-12 04:11:25,-38.5473,-58.7368,284.25,45,59,6.55
84,Half Moon Bay,US,2022-10-12 04:00:45,37.4636,-122.4286,290.43,88,100,4.12
85,Mandan,US,2022-10-12 04:11:26,46.8267,-100.8896,282.01,64,0,5.14
86,Yakeshi,CN,2022-10-12 04:11:26,49.2833,120.7333,284.27,20,100,5.29
87,Cape Coast,GH,2022-10-12 04:11:27,5.1053,-1.2466,297.62,88,57,2.1
88,Cayenne,GF,2022-10-12 04:11:27,4.9333,-52.3333,298.17,94,75,0.0
89,Labytnangi,RU,2022-10-12 04:12:28,66.6572,66.4183,275.75,88,44,2.44
90,Hofn,IS,2022-10-12 04:12:29,64.2539,-15.2082,279.95,69,13,5.24
91,Ahipara,NZ,2022-10-12 04:12:30,-35.1667,173.1667,289.81,65,100,0.55
92,Muroto,JP,2022-10-12 04:12:30,33.2833,134.15,294.27,58,97,5.46
93,Maldonado,UY,2022-10-12 04:12:31,-34.6667,-54.9167,284.81,90,99,2.57
94,Cape Town,ZA,2022-10-12 04:11:27,-33.9258,18.4232,290.32,85,81,4.02
95,Tiarei,PF,2022-10-12 04:12:32,-17.5333,-149.3333,299.16,80,16,8.0
96,Olafsvik,IS,2022-10-12 04:12:32,64.8945,-23.7142,279.83,73,29,9.06
97,Hobart,AU,2022-10-12 04:00:14,-42.8794,147.3294,291.63,71,75,9.77
98,Byron Bay,AU,2022-10-12 04:12:33,-28.65,153.6167,294.23,55,73,5.62
99,Sahbuz,AZ,2022-10-12 04:12:33,39.4072,45.5739,281.93,52,1,1.32
100,Moisakula,EE,2022-10-12 04:12:34,58.0922,25.1864,278.03,93,8,1.87
101,Coquimbo,CL,2022-10-12 04:12:33,-29.9533,-71.3436,285.0,87,0,1.54
102,Severo-Kurilsk,RU,2022-10-12 04:12:35,50.6789,156.125,283.2,82,47,12.56
103,Hithadhoo,MV,2022-10-12 04:12:35,-0.6,73.0833,301.02,76,99,7.59
104,Delijan,IR,2022-10-12 04:12:36,33.9905,50.6838,292.52,22,0,0.64
105,Sioux Lookout,CA,2022-10-12 04:12:36,50.1001,-91.917,287.19,66,90,5.35
106,Lebu,CL,2022-10-12 04:12:37,-37.6167,-73.65,284.42,92,100,1.65
107,Kardla,EE,2022-10-12 04:12:37,58.9978,22.7492,283.18,93,0,2.06
108,Katsuura,JP,2022-10-12 04:12:38,35.1333,140.3,295.25,67,100,8.93
109,Kapaa,US,2022-10-12 04:04:28,22.0752,-159.319,301.14,88,20,2.57
110,Bambous Virieux,MU,2022-10-12 04:12:39,-20.3428,57.7575,296.6,64,40,5.14
111,Huercal-Overa,ES,2022-10-12 04:12:39,37.389,-1.9454,290.5,84,60,0.59
112,Kaitangata,NZ,2022-10-12 04:12:40,-46.2817,169.8464,283.94,51,11,2.91
113,Vorotynsk,RU,2022-10-12 04:12:41,54.4283,36.0465,271.55,83,40,1.96
114,Chuy,UY,2022-10-12 04:12:41,-33.6971,-53.4616,284.77,96,89,2.94
115,Sayyan,YE,2022-10-12 04:12:42,15.1718,44.3244,287.08,34,18,1.73
116,Nikolskoye,RU,2022-10-12 04:04:36,59.7035,30.7861,281.09,83,98,2.97
117,Yerbogachen,RU,2022-10-12 04:04:24,61.2767,108.0108,276.11,97,100,4.73
118,Khatanga,RU,2022-10-12 04:12:43,71.9667,102.5,272.22,97,100,1.52
119,Ust-Maya,RU,2022-10-12 04:12:43,60.4167,134.5333,273.49,61,90,1.93
120,Narasannapeta,IN,2022-10-12 04:12:44,18.4167,84.05,301.45,76,87,1.7
121,New Norfolk,AU,2022-10-12 04:04:25,-42.7826,147.0587,291.44,58,100,1.79
122,Luwuk,ID,2022-10-12 04:12:45,-0.9516,122.7875,299.95,82,100,3.26
123,Oranjestad,AW,2022-10-12 04:12:45,12.524,-70.027,301.43,85,20,6.17
124,Mamlyutka,KZ,2022-10-12 04:12:46,54.9375,68.5394,278.16,59,100,0.32
125,Cidreira,BR,2022-10-12 04:12:47,-30.1811,-50.2056,290.75,96,100,4.29
126,Leningradskiy,RU,2022-10-12 04:04:36,69.3833,178.4167,268.88,74,100,7.77
127,Bengkulu,ID,2022-10-12 04:12:47,-3.8004,102.2655,300.37,71,98,1.65
128,Rio Claro,BR,2022-10-12 04:11:58,-22.4114,-47.5614,294.49,62,88,1.13
129,Kita,ML,2022-10-12 04:12:48,13.0349,-9.4895,296.6,80,65,1.94
130,Marzuq,YE,2022-10-12 04:12:49,14.4,46.4667,295.93,41,3,0.63
131,Muros,ES,2022-10-12 04:12:49,42.7762,-9.0603,288.62,88,54,3.52
