City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Tasiilaq,GL,65.6145,-37.6368,30.36,61,6,8.5,clear sky
79,Caraballeda,VE,10.6112,-66.8522,82.36,83,40,1.14,scattered clouds
80,New Glasgow,CA,45.5834,-62.6486,58.78,95,100,9.78,overcast clouds
81,Lebedyan,RU,53.0194,39.1664,40.41,71,92,5.32,overcast clouds
82,Sur,OM,22.5667,59.5289,81.09,29,19,4.81,few clouds
83,Adzope,CI,6.1069,-3.8619,71.69,99,100,2.44,overcast clouds
84,Abeche,TD,13.8292,20.8324,78.28,29,8,10.18,clear sky
85,Grindavik,IS,63.8424,-22.4338,36.07,75,75,34.52,broken clouds
86,Saint-Leu,RE,-21.15,55.2833,70.95,91,30,5.84,scattered clouds
87,Lima,PE,-12.0432,-77.0282,62.37,77,34,5.59,scattered clouds
88,Salalah,OM,17.0151,54.0924,73.49,53,0,1.14,clear sky
89,Saint-Philippe,RE,-21.3585,55.7679,67.59,74,40,8.32,scattered clouds
90,Iqaluit,CA,63.7506,-68.5145,32.7,100,100,5.01,overcast clouds
91,Melilla,ES,35.2937,-2.9383,66.58,59,0,0.0,clear sky
92,Bahia Blanca,AR,-38.7196,-62.2724,54.12,42,100,6.24,overcast clouds
93,Ajdabiya,LY,30.7554,20.2263,68.92,70,26,9.13,scattered clouds
94,Wagar,SD,16.1525,36.2032,83.89,53,20,3.49,few clouds
95,Mehamn,NO,71.0357,27.8492,44.55,87,40,6.91,scattered clouds
96,Oussouye,SN,12.485,-16.5469,78.85,87,97,6.08,overcast clouds
97,Roald,NO,62.5833,6.1333,52.72,62,75,9.22,broken clouds
98,General Roca,AR,-39.0333,-67.5833,61.63,31,17,11.14,few clouds
99,Yarada,IN,17.65,83.2667,84.52,79,40,4.61,scattered clouds
100,Kanata,CA,45.3159,-75.8985,45.79,65,58,6.38,broken clouds
101,Starkville,US,33.4504,-88.8184,69.78,68,0,4.61,clear sky
102,East London,ZA,-33.0153,27.9116,65.79,83,100,21.0,overcast clouds
103,Dubovskoye,RU,47.4092,42.7575,41.32,68,4,10.98,clear sky
104,Khash,IR,28.2211,61.2158,65.73,14,0,3.04,clear sky
105,Kumluca,TR,36.3703,30.2869,66.9,82,100,8.68,overcast clouds
106,Muisne,EC,0.6,-80.0333,73.8,82,97,8.21,overcast clouds
107,Eyl,SO,7.9803,49.8164,76.73,85,23,5.84,few clouds
108,Chupa,RU,66.27,33.0549,47.53,89,100,11.7,overcast clouds
109,Balta,UA,47.9355,29.6198,38.57,63,0,5.08,clear sky
110,Padilla,CO,3.2204,-76.3139,67.57,93,91,2.98,overcast clouds
111,Bonavista,CA,48.6499,-53.1147,51.78,77,100,7.85,overcast clouds
112,Tarnobrzeg,PL,50.573,21.6794,54.97,88,87,5.91,overcast clouds
113,Olafsvik,IS,64.8945,-23.7142,34.66,70,97,40.98,overcast clouds
114,Torbay,CA,47.6666,-52.7314,47.57,95,100,6.91,mist
115,Husavik,IS,66.0449,-17.3389,35.37,99,100,31.47,light rain
116,Vihari,PK,30.0333,72.35,80.55,15,0,4.05,clear sky
117,Marsaxlokk,MT,35.8419,14.5431,68.07,88,0,1.14,clear sky
118,Touba,CI,8.2833,-7.6833,68.32,98,100,4.74,overcast clouds
119,Conde,BR,-7.2597,-34.9075,72.3,86,10,8.25,clear sky
120,Koslan,RU,63.4564,48.8989,40.95,97,100,3.42,light rain
121,Vercheres,CA,45.7834,-73.3492,55.08,62,67,10.04,broken clouds
122,Kaka,TM,37.3482,59.6143,68.92,19,0,3.36,clear sky
123,Haysyn,UA,48.8114,29.3898,37.96,63,0,5.77,clear sky
124,Saldanha,ZA,-33.0117,17.9442,60.08,90,42,3.74,scattered clouds
125,Zhanaozen,KZ,43.3,52.8,54.77,65,100,15.35,overcast clouds
126,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,81,0,4.61,clear sky
127,Katiola,CI,8.1333,-5.1,70.54,96,99,5.14,overcast clouds
128,Chapais,CA,49.7834,-74.8492,42.58,79,92,13.44,overcast clouds
129,Cayenne,GF,4.9333,-52.3333,77.04,94,20,2.3,few clouds
130,Marzuq,YE,14.4,46.4667,67.15,55,5,1.14,clear sky
131,Laguna,US,38.421,-121.4238,66.31,80,0,14.97,clear sky
132,Zlobin,HR,45.2924,14.6541,52.59,93,0,2.3,clear sky
133,Larsnes,NO,62.2028,5.5773,52.21,68,99,10.25,overcast clouds
134,Jamestown,US,42.097,-79.2353,44.19,73,0,3.44,clear sky
135,Nouadhibou,MR,20.931,-17.0347,69.26,88,0,14.99,clear sky
136,Prieska,ZA,-29.6641,22.7474,67.86,51,100,16.42,overcast clouds
137,Huittinen,FI,61.1833,22.7,51.69,94,100,12.59,light rain
138,Barkhan,PK,29.8977,69.5256,71.46,16,0,2.68,clear sky
139,Vigrestad,NO,58.5667,5.7,51.58,78,100,20.11,overcast clouds
140,Severodvinsk,RU,64.5635,39.8302,42.91,95,95,10.0,overcast clouds
141,Klaksvik,FO,62.2266,-6.589,45.52,84,100,21.63,light rain
142,Santa Maria,BR,-29.6842,-53.8069,58.48,98,100,7.25,overcast clouds
143,Arraial Do Cabo,BR,-22.9661,-42.0278,70.2,84,60,10.89,broken clouds
144,Sinnamary,GF,5.3833,-52.95,79.0,87,13,8.61,few clouds
145,Saint-Augustin,CA,51.226,-58.6502,48.16,84,100,2.28,overcast clouds
146,Kavaratti,IN,10.5669,72.642,81.73,71,100,4.72,overcast clouds
147,Sao Filipe,CV,14.8961,-24.4956,76.6,74,46,6.22,scattered clouds
148,Adre,TD,13.4667,22.2,75.09,28,41,8.99,scattered clouds
149,Ancud,CL,-41.8697,-73.8203,46.49,94,89,2.48,overcast clouds
150,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.29,79,51,7.45,broken clouds
151,Ponta Do Sol,PT,32.6667,-17.1,70.72,74,32,3.47,scattered clouds
152,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,82.72,27,37,5.93,scattered clouds
153,Zorritos,PE,-3.6805,-80.6782,68.29,74,100,8.97,overcast clouds
154,Leshukonskoye,RU,64.8989,45.7622,41.47,97,100,4.43,overcast clouds
155,Korhogo,CI,9.45,-5.6333,70.16,96,100,4.92,overcast clouds
156,Nouakchott,MR,18.0858,-15.9785,75.13,67,0,15.9,clear sky
